Date,Open,High,Low,Volume
1,3747.389893,3938.75,3696.939941,170598307
2,3880.149902,3989.590088,3826.290039,210854603
3,3961.01001,3965.52002,3778.76001,176488072
4,3835.860107,3901.649902,3783.879883,170507611
5,3874.060059,3926.919922,3841.129883,139438510
6,3855.389893,4145.160156,3829.090088,236298043
7,4102.850098,4132.620117,4001.350098,209289368
8,4050.399902,4156.160156,3990.340088,268091045
9,4040.75,4092.909912,4013,223639028
10,4048.340088,4085.090088,3631.070068,412522198
11,3668.149902,3729.689941,3616.409912,231465488
12,3669.199951,3692.120117,3611.199951,103912541
13,3664.379883,3675.199951,3528.23999,164125048
14,3551.23999,3748.879883,3544.530029,204793029
15,3703.899902,3724.300049,3590.48999,198582447
16,3621.23999,3704.370117,3611.379883,196211595
17,3643.98999,3695.280029,3586.919922,168287506
18,3685.300049,3685.389893,3620.439941,118317804
19,3648.050049,3799.620117,3643.01001,143238228
20,3729.780029,3754.649902,3529.25,177628515
21,3567.72998,3599.830078,3535.189941,129000924
22,3571.919922,3635.689941,3473.77002,191355241
23,3602.040039,3631.149902,3543.959961,135864247
24,3572.050049,3616.330078,3546.5,113155246
25,3598.52002,3607.429932,3539.409912,116674680
26,3582.889893,3676.399902,3578.620117,105927045
27,3596.5,3605.98999,3511.290039,93766117
28,3565.080078,3567.560059,3402.560059,206309738
29,3453.419922,3463.199951,3369.189941,158106687
30,3418.25,3488.909912,3395.939941,146422486
31,3467.209961,3499.780029,3422.830078,128773893
32,3434.129883,3478.550049,3398.959961,144476056
33,3461.629883,3519.139893,3441.209961,94144187
34,3508.679932,3514.429932,3424.419922,79591219
35,3449.620117,3470.800049,3429.209961,82280894
36,3431.23999,3447.879883,3415.669922,84042727
37,3447.659912,3459.330078,3362.23999,150408587
38,3394.889893,3406.540039,3369.100098,97390901
39,3375.330078,3735.100098,3363.320068,317023029
40,3660.030029,3673.709961,3616.110107,94200588
41,3652.26001,3689.320068,3611.459961,109365095
42,3685.139893,3688.590088,3608.179932,146354074
43,3611.340088,3648.669922,3574.219971,164816438
44,3617.409912,3655.889893,3590.01001,146822348
45,3605.870117,3619.699951,3567.389893,117804856
46,3588.719971,3640.649902,3575.949951,130398989
47,3593.48999,3639.75,3592.040039,86973822
48,3617.23999,3706.169922,3608.179932,134218331
49,3670.919922,3952.439941,3661.419922,376203280
50,3912.570068,4010.909912,3882.52002,292137057
51,3924.23999,3992.310059,3898.909912,209282292
52,3974.050049,4026.540039,3900.280029,187314178
53,3937.040039,3996.149902,3917.659912,170405341
54,3983.530029,4192.390137,3948.47998,231174632
55,4149.089844,4221.620117,3755.379883,319071544
56,3771.620117,3885.060059,3771.530029,185036583
57,3845.51001,3852.659912,3791.899902,126868886
58,3817.879883,3851.840088,3699.530029,175069054
59,3830.719971,3909.860107,3798,170646670
60,3823.370117,3866.120117,3822.669922,101774924
61,3831.47998,3846.379883,3790.73999,73894412
62,3842.939941,3853.280029,3788.040039,64065044
63,3812.310059,3831.01001,3705.139893,147245676
64,3731.280029,3893.52002,3720.48999,165062256
65,3874.179932,3916.290039,3839.389893,129520549
66,3874.97998,3911.76001,3853.199951,146201726
67,3882.610107,3932.02002,3804.97998,153405087
68,3868.02002,3975.25,3860.659912,108370246
69,3947.73999,3948.209961,3897.820068,68252920
70,3929.840088,3941.98999,3849.449951,126998648
71,3874.889893,3904.699951,3827.22998,130291591
72,3888.570068,3898.25,3853.060059,108286926
73,3878.439941,3922.209961,3825.030029,133931876
74,3881.439941,3935.100098,3876.169922,125588541
75,3927.080078,4069.110107,3924.97998,166216280
76,4027.01001,4030.379883,3970.969971,68146133
77,3998,4038.98999,3964.310059,109428478
78,3988.850098,4032.040039,3972.469971,118919147
79,4024.139893,4064.949951,3995.48999,148490744
80,4056.75,4082.290039,3953.530029,178077036
81,3996.929932,4018.209961,3984,90726555
82,4000.840088,4019.360107,3982.469971,74094017
83,4007.209961,4010.300049,3970.350098,64375076
84,3994.110107,4005.290039,3887.679932,136398998
85,3924.550049,3943.199951,3902.52002,93805733
86,3942.219971,4054.320068,3932.790039,149005782
87,4045.97998,4046.439941,4014.689941,102296341
88,4036.449951,4122.890137,4031.219971,170915132
89,4111.379883,4146.879883,4066.870117,102400533
90,4118.129883,4129.430176,4098.790039,56727425
91,4112.689941,4164.330078,4082.199951,152826759
92,4151.319824,5104.419922,4147.700195,814748125
93,4906.930176,5335.700195,4831.589844,809158339
94,4976.589844,5071.97998,4799.77002,370109007
95,4913.359863,5074.129883,4897.609863,280722247
96,5047.22998,5240.189941,4938,275839573
97,5057.25,5266.040039,5044.279785,243329883
98,5201.160156,5347.879883,5141.22998,366577921
99,5294.089844,5294.089844,5159.129883,253577595
100,5201.299805,5460.939941,5178.609863,349643837
101,5318.600098,5343.660156,4987.649902,356811374
102,5048.560059,5118.609863,4927.620117,220667543
103,5081.5,5128.959961,5056.189941,118956124
104,5080.660156,5186.819824,5031.200195,108148233
105,5165.589844,5195.310059,4969.310059,205867031
106,5037.27002,5232.029785,5029.160156,207311534
107,5212.810059,5270.759766,5190.810059,194699629
108,5236.259766,5317.779785,5232.990234,187312150
109,5289.75,5353.009766,5212.180176,158699049
110,5295.529785,5366.600098,5274.450195,123577001
111,5326.180176,5348.589844,5232.77002,134681237
112,5305.740234,5444.759766,5265.72998,242498187
113,5394.669922,5626.830078,5371.310059,368556751
114,5539.100098,5633,5390.97998,339093001
115,5454.580078,5521.609863,5031.689941,374798664
116,5162.669922,5361.939941,5104.180176,366773360
117,5234.089844,5282.970215,5192.450195,113430273
118,5233.470215,5313.700195,5218.419922,133564683
119,5272.450195,5299.509766,5162.810059,167206787
120,5237.959961,5372.22998,5224.640137,172540196
121,5350.640137,5417.169922,5346.700195,147345369
122,5389.540039,5531.149902,5387.290039,192256639
123,5500.720215,5891.899902,5484.779785,432335283
124,5753.379883,5901.359863,5596.149902,263390273
125,5840.080078,5849.5,5709.740234,147662500
126,5794.140137,5823.669922,5644.149902,200316185
127,5748.169922,6031.540039,5748.169922,353043890
128,5819.569824,6032.25,5753.080078,241917027
129,5998.709961,6194.910156,5988.649902,310336580
130,6171.959961,6444.569824,6133.209961,430403405
131,6358.290039,7394.939941,6357.02002,933141315
132,7191.359863,7541.609863,6793.209961,1023203366
133,6977.629883,8127.75,6873.419922,1140302646
134,7806.359863,8297.019531,7631.339844,976094121
135,7980.129883,8263.290039,7849.919922,694202804
136,8183.830078,8352.25,7679.049805,762104107
137,7874.109863,7930.97998,6668.669922,1023961962
138,7371.959961,7491.669922,7213.720215,303317486
139,7266.080078,8281.660156,7257.259766,723011166
140,8193.139648,8193.139648,7591.850098,637617163
141,7998.290039,8102.319824,7807.77002,357803946
142,7947.930176,8033.759766,7533.660156,424501866
143,7626.890137,7971.259766,7478.740234,386766321
144,7876.5,8165.450195,7801.569824,413162746
145,7996.399902,8140.819824,7948.680176,179206342
146,8059.129883,8779,7894.529785,483663699
147,8726.230469,8931.530273,8668.459961,507164714
148,8785.169922,8818.709961,8562.200195,360752199
149,8718.849609,8760.480469,8444.099609,380343928
150,8664.55957,9065.889648,8027.209961,815525590
151,8276.25,8570.780273,8116,502056527
152,8550.669922,8619.209961,8459.650391,229736992
153,8555.870117,8819.900391,8547.480469,221708083
154,8737.910156,8740.240234,8073.180176,534972187
155,8114.490234,8114.490234,7463.939941,809220381
156,7677.470215,7917.140137,7591.879883,387021977
157,7791.290039,7872.100098,7467.52002,342084400
158,7807.359863,8127.629883,7767.370117,407241297
159,8002.629883,8058.910156,7796.459961,186055499
160,7933.779785,7964.75,7535.899902,234551796
161,7643.439941,8061.5,7533.529785,339520552
162,8021,8049.779785,7724.580078,282632009
163,7917.319824,8250,7834.569824,399065678
164,8174.140137,8326.200195,8053.649902,315594036
165,8235.570313,8724.419922,8180.390137,424131990
166,8693.959961,8905.139648,8621.480469,333656492
167,8853.55957,9372.889648,8800.959961,767025702
168,8979.179688,9468.849609,8976.990234,606269265
169,9336.009766,9357.219727,8941.830078,473016555
170,9081.709961,9313.179688,9045.469727,293070485
171,9280.540039,9600.280273,9219.80957,424436854
172,9536.849609,10230.86035,9536.849609,765543626
173,10218.87012,11207.96973,10086.32031,1240328392
174,10689.54004,11285.50977,10513.80957,619160985
175,10855.99023,11100.91992,10555.70996,565444720
176,11035.74023,11778.21973,10992.37012,953962631
177,11740.33984,13826.75977,11679.09961,2685872365
178,12913.28027,13314.04981,10335.33984,2345027203
179,11154.08984,12433,10772.75,1408438810
180,12355.05957,12362.90039,11352.26953,968516834
181,11884.09961,12200.01953,10677.83008,917158052
182,10769.04981,11207,10006.42969,1225129699
183,10591.87012,10927.59961,9678.099609,1239524970
184,10844.12988,12009.58984,10841.91016,1313585829
185,11981.61035,12055.11035,11067.67969,831236841
186,11156.51953,11435.37988,10787.94043,734424868
187,10993.25,11709.26953,10985.40039,549769169
188,11248.94043,11605.42969,11109.41992,418161890
189,11474.28027,12386.28027,11339.01953,762033323
190,12296.16016,12808.05957,12117.30957,993891866
191,12567.01953,13183.73047,11569.94043,1554955347
192,12099.12012,12099.91016,11002.38965,1185222449
193,11343.12012,11931.91016,11096.61035,647690095
194,11797.37012,11835.87012,10827.53027,668325183
195,11363.96973,11447.91992,10118.84961,814667763
196,10204.41016,11070.17969,9877.019531,965178341
197,10850.25977,11025.75977,9366.820313,1140137759
198,9423.44043,9982.240234,9086.509766,965256823
199,9696.150391,10776.54004,9292.610352,1033842556
200,10638.34961,10757.41016,10135.16016,658190962
201,10532.94043,11094.32031,10379.19043,608954333
202,10759.41992,10833.99023,10329.88965,405339891
203,10586.70996,10676.59961,10072.07031,524442852
204,10325.87012,10328.44043,9820.610352,529438124
205,9854.150391,9920.540039,9535.780273,531611909
206,9772.139648,10184.42969,9744.700195,403576364
207,9882.429688,9890.049805,9668.519531,312717110
208,9847.450195,10202.9502,9310.469727,512612117
209,9478.320313,9591.519531,9135.639648,267243770
210,9531.769531,9717.69043,9386.900391,299936368
211,9506.929688,9749.530273,9391.780273,276402322
212,9595.519531,10123.94043,9581.599609,416343142
213,10089.25,10488.80957,9890.490234,442037342
