quarter years, hare pop, lynx pop
0.00,1000.0000,100.0000
0.25,1152.5000,100.0000
0.50,1324.8773,100.9924
0.75,1519.1419,102.7930
1.00,1737.3066,105.2859
1.25,1981.2064,108.3968
1.50,2252.2732,112.0786
1.75,2551.2756,116.3015
2.00,2878.0467,121.0479
2.25,3231.2279,126.3081
2.50,3608.0675,132.0782
2.75,4004.3180,138.3579
3.00,4414.2762,145.1493
3.25,4830.9932,152.4559
3.50,5246.6586,160.2817
3.75,5653.1265,168.6305
4.00,6042.5146,177.5051
4.25,6407.7877,186.9072
4.50,6743.2323,196.8364
4.75,7044.7573,207.2898
5.00,7309.9886,218.2620
5.25,7538.1751,229.7440
5.50,7729.9518,241.7233
5.75,7887.0230,254.1833
6.00,8011.8260,267.1032
6.25,8107.2205,280.4573
6.50,8176.2328,294.2151
6.75,8221.8637,308.3409
7.00,8246.9585,322.7938
7.25,8254.1305,337.5275
7.50,8245.7247,352.4904
7.75,8223.8121,367.6259
8.00,8190.2010,382.8725
8.25,8146.4613,398.1641
8.50,8093.9528,413.4310
8.75,8033.8554,428.6001
9.00,7967.1982,443.5960
9.25,7894.8862,458.3419
9.50,7817.7236,472.7606
9.75,7736.4336,486.7757
10.00,7651.6756,500.3130
10.25,7564.0584,513.3013
10.50,7474.1505,525.6742
10.75,7382.4889,537.3709
11.00,7289.5845,548.3373
11.25,7195.9262,558.5273
11.50,7101.9838,567.9034
11.75,7008.2083,576.4373
12.00,6915.0331,584.1103
12.25,6822.8725,590.9139
12.50,6732.1209,596.8491
12.75,6643.1513,601.9267
13.00,6556.3129,606.1664
13.25,6471.9302,609.5964
13.50,6390.3002,612.2523
13.75,6311.6914,614.1765
14.00,6236.3424,615.4166
14.25,6164.4607,616.0248
14.50,6096.2218,616.0564
14.75,6031.7695,615.5687
15.00,5971.2153,614.6203
15.25,5914.6392,613.2694
15.50,5862.0904,611.5737
15.75,5813.5883,609.5890
16.00,5769.1240,607.3690
16.25,5728.6616,604.9641
16.50,5692.1402,602.4219
16.75,5659.4758,599.7860
