quarter years, hare pop, lynx pop
0.00,1000.0000,100.0000
0.25,1102.5000,100.0000
0.50,1213.4864,100.6973
0.75,1333.4462,101.9825
1.00,1462.9192,103.7815
1.25,1602.4601,106.0433
1.50,1752.5931,108.7335
1.75,1913.7599,111.8290
2.00,2086.2620,115.3152
2.25,2270.1980,119.1834
2.50,2465.4002,123.4294
2.75,2671.3729,128.0520
3.00,2887.2396,133.0523
3.25,3111.7031,138.4326
3.50,3343.0275,144.1962
3.75,3579.0457,150.3461
4.00,3817.1977,156.8854
4.25,4054.6000,163.8158
4.50,4288.1447,171.1381
4.75,4514.6208,178.8509
5.00,4730.8475,186.9507
5.25,4933.8078,195.4312
5.50,5120.7702,204.2826
5.75,5289.3852,213.4917
6.00,5437.7524,223.0409
6.25,5564.4516,232.9076
6.50,5668.5414,243.0641
6.75,5749.5291,253.4771
7.00,5807.3200,264.1067
7.25,5842.1532,274.9063
7.50,5854.5335,285.8224
7.75,5845.1637,296.7935
8.00,5814.8845,307.7506
8.25,5764.6227,318.6162
8.50,5695.3515,329.3047
8.75,5608.0600,339.7223
9.00,5503.7342,349.7668
9.25,5383.3469,359.3284
9.50,5247.8545,368.2896
9.75,5098.2017,376.5267
10.00,4935.3309,383.9100
10.25,4760.1967,390.3055
10.50,4573.7854,395.5765
10.75,4377.1387,399.5853
11.00,4171.3817,402.1959
11.25,3957.7572,403.2764
11.50,3737.6647,402.7032
11.75,3512.7056,400.3649
12.00,3284.7335,396.1682
12.25,3055.9061,390.0448
12.50,2828.7321,381.9602
12.75,2606.1014,371.9255
13.00,2391.2748,360.0109
13.25,2187.8054,346.3614
13.50,1999.3564,331.2130
13.75,1829.3969,314.9025
14.00,1680.7986,297.8660
14.25,1555.4255,280.6157
14.50,1453.8634,263.6923
14.75,1375.4139,247.5991
15.00,1318.3635,232.7399
15.25,1280.4108,219.3800
15.50,1259.0871,207.6428
15.75,1252.0603,197.5334
16.00,1257.2978,188.9752
16.25,1273.1185,181.8458
16.50,1298.1795,176.0037
16.75,1331.4321,171.3074
17.00,1372.0702,167.6247
17.25,1419.4806,164.8376
17.50,1473.2005,162.8441
17.75,1532.8807,161.5571
18.00,1598.2559,160.9034
18.25,1669.1191,160.8220
18.50,1745.2999,161.2621
18.75,1826.6444,162.1816
19.00,1912.9983,163.5455
19.25,2004.1895,165.3251
19.50,2100.0134,167.4963
19.75,2200.2180,170.0389
20.00,2304.4906,172.9360
20.25,2412.4461,176.1730
20.50,2523.6173,179.7370
20.75,2637.4471,183.6163
21.00,2753.2844,187.8002
21.25,2870.3835,192.2778
21.50,2987.9069,197.0386
21.75,3104.9331,202.0712
22.00,3220.4681,207.3633
22.25,3333.4610,212.9016
22.50,3442.8229,218.6710
22.75,3547.4492,224.6547
23.00,3646.2425,230.8335
23.25,3738.1361,237.1859
23.50,3822.1179,243.6877
23.75,3897.2507,250.3117
24.00,3962.6906,257.0273
