quarter years, hare pop, lynx pop
0.00,1000.0000,100.0000
0.25,1127.5000,100.0000
0.50,1268.6270,100.8481
0.75,1424.5557,102.3991
1.00,1596.5249,104.5586
1.25,1785.7485,107.2647
1.50,1993.3050,110.4773
1.75,2220.0056,114.1707
2.00,2466.2485,118.3299
2.25,2731.8675,122.9465
2.50,3015.9892,128.0176
2.75,3316.9157,133.5436
3.00,3632.0532,139.5268
3.25,3957.9064,145.9714
3.50,4290.1540,152.8815
3.75,4623.8118,160.2617
4.00,4953.4768,168.1153
4.25,5273.6300,176.4447
4.50,5578.9646,185.2504
4.75,5864.6968,194.5308
5.00,6126.8214,204.2812
5.25,6362.2820,214.4939
5.50,6569.0422,225.1574
5.75,6746.0628,236.2562
6.00,6893.2015,247.7699
6.25,7011.0623,259.6733
6.50,7100.8202,271.9355
6.75,7164.0470,284.5200
7.00,7202.5537,297.3843
7.25,7218.2605,310.4791
7.50,7213.0966,323.7491
7.75,7188.9303,337.1320
8.00,7147.5247,350.5593
8.25,7090.5142,363.9560
8.50,7019.3967,377.2413
8.75,6935.5365,390.3290
9.00,6840.1754,403.1280
9.25,6734.4465,415.5437
9.50,6619.3913,427.4789
9.75,6495.9760,438.8349
10.00,6365.1079,449.5135
10.25,6227.6503,459.4180
10.50,6084.4348,468.4557
10.75,5936.2731,476.5392
11.00,5783.9654,483.5887
11.25,5628.3073,489.5337
11.50,5470.0953,494.3151
11.75,5310.1292,497.8865
12.00,5149.2140,500.2160
12.25,4988.1593,501.2874
12.50,4827.7776,501.1011
12.75,4668.8813,499.6747
13.00,4512.2779,497.0430
13.25,4358.7649,493.2580
13.50,4209.1228,488.3878
13.75,4064.1081,482.5159
14.00,3924.4451,475.7392
14.25,3790.8173,468.1661
14.50,3663.8591,459.9147
14.75,3544.1469,451.1094
15.00,3432.1918,441.8787
15.25,3328.4322,432.3522
15.50,3233.2288,422.6578
15.75,3146.8605,412.9188
16.00,3069.5240,403.2515
16.25,3001.3338,393.7632
16.50,2942.3262,384.5503
16.75,2892.4649,375.6972
17.00,2851.6478,367.2755
17.25,2819.7162,359.3439
17.50,2796.4633,351.9487
17.75,2781.6436,345.1240
18.00,2774.9812,338.8931
18.25,2776.1769,333.2698
18.50,2784.9141,328.2591
18.75,2800.8628,323.8595
19.00,2823.6824,320.0635
19.25,2853.0225,316.8589
19.50,2888.5225,314.2304
19.75,2929.8104,312.1598
20.00,2976.5003,310.6272
20.25,3028.1898,309.6115
20.50,3084.4575,309.0906
20.75,3144.8597,309.0422
21.00,3208.9290,309.4434
21.25,3276.1720,310.2715
21.50,3346.0697,311.5035
21.75,3418.0776,313.1166
22.00,3491.6280,315.0878
22.25,3566.1331,317.3941
22.50,3640.9899,320.0120
22.75,3715.5859,322.9182
23.00,3789.3058,326.0886
23.25,3861.5398,329.4991
23.50,3931.6914,333.1248
23.75,3999.1863,336.9404
24.00,4063.4805,340.9199
24.25,4124.0684,345.0369
24.50,4180.4902,349.2643
24.75,4232.3376,353.5743
25.00,4279.2594,357.9389
25.25,4320.9648,362.3294
25.50,4357.2257,366.7171
25.75,4387.8778,371.0729
26.00,4412.8201,375.3678
26.25,4432.0131,379.5729
26.50,4445.4766,383.6599
26.75,4453.2861,387.6010
27.00,4455.5688,391.3694
27.25,4452.4988,394.9392
27.50,4444.2929,398.2861
27.75,4431.2048,401.3875
28.00,4413.5210,404.2227
28.25,4391.5552,406.7732
28.50,4365.6441,409.0228
28.75,4336.1425,410.9581
29.00,4303.4194,412.5685
29.25,4267.8535,413.8464
