quarter years, hare pop, lynx pop
46.25,7813.5904,781.3590
46.50,7813.5903,781.3590
46.75,7813.5902,781.3590
47.00,7813.5902,781.3590
47.25,7813.5901,781.3590
47.50,7813.5901,781.3590
47.75,7813.5901,781.3590
48.00,7813.5900,781.3590
48.25,7813.5900,781.3590
48.50,7813.5900,781.3590
48.75,7813.5900,781.3590
49.00,7813.5899,781.3590
49.25,7813.5899,781.3590
49.50,7813.5899,781.3590
49.75,7813.5899,781.3590
50.00,7813.5899,781.3590
50.25,7813.5899,781.3590
50.50,7813.5899,781.3590
50.75,7813.5899,781.3590
51.00,7813.5899,781.3590
51.25,7813.5899,781.3590
51.50,7813.5899,781.3590
51.75,7813.5899,781.3590
52.00,7813.5899,781.3590
52.25,7813.5899,781.3590
52.50,7813.5899,781.3590
52.75,7813.5899,781.3590
53.00,7813.5899,781.3590
53.25,7813.5899,781.3590
53.50,7813.5899,781.3590
53.75,7813.5899,781.3590
54.00,7813.5899,781.3590
54.25,7813.5899,781.3590
54.50,7813.5899,781.3590
54.75,7813.5899,781.3590
55.00,7813.5899,781.3590
55.25,7813.5899,781.3590
55.50,7813.5899,781.3590
55.75,7813.5899,781.3590
56.00,7813.5899,781.3590
56.25,7813.5899,781.3590
56.50,7813.5899,781.3590
56.75,7813.5899,781.3590
57.00,7813.5899,781.3590
57.25,7813.5899,781.3590
57.50,7813.5899,781.3590
57.75,7813.5899,781.3590
58.00,7813.5899,781.3590
58.25,7813.5899,781.3590
58.50,7813.5899,781.3590
58.75,7813.5899,781.3590
59.00,7813.5899,781.3590
59.25,7813.5899,781.3590
59.50,7813.5899,781.3590
59.75,7813.5899,781.3590
60.00,7813.5899,781.3590
60.25,7813.5899,781.3590
60.50,7813.5899,781.3590
60.75,7813.5899,781.3590
61.00,7813.5899,781.3590
61.25,7813.5899,781.3590
61.50,7813.5899,781.3590
61.75,7813.5899,781.3590
62.00,7813.5899,781.3590
62.25,7813.5899,781.3590
62.50,7813.5899,781.3590
62.75,7813.5899,781.3590
63.00,7813.5899,781.3590
63.25,7813.5899,781.3590
63.50,7813.5899,781.3590
63.75,7813.5899,781.3590
64.00,7813.5899,781.3590
64.25,7813.5899,781.3590
64.50,7813.5899,781.3590
64.75,7813.5899,781.3590
65.00,7813.5899,781.3590
65.25,7813.5899,781.3590
65.50,7813.5899,781.3590
65.75,7813.5899,781.3590
66.00,7813.5899,781.3590
66.25,7813.5899,781.3590
66.50,7813.5899,781.3590
66.75,7813.5899,781.3590
67.00,7813.5899,781.3590
67.25,7813.5899,781.3590
67.50,7813.5899,781.3590
67.75,7813.5899,781.3590
68.00,7813.5899,781.3590
68.25,7813.5899,781.3590
68.50,7813.5899,781.3590
68.75,7813.5899,781.3590
69.00,7813.5899,781.3590
69.25,7813.5899,781.3590
69.50,7813.5899,781.3590
69.75,7813.5899,781.3590
70.00,7813.5899,781.3590
70.25,7813.5899,781.3590
70.50,7813.5899,781.3590
70.75,7813.5899,781.3590
71.00,7813.5899,781.3590
71.25,7813.5899,781.3590
71.50,7813.5899,781.3590
71.75,7813.5899,781.3590
72.00,7813.5899,781.3590
72.25,7813.5899,781.3590
72.50,7813.5899,781.3590
72.75,7813.5899,781.3590
73.00,7813.5899,781.3590
73.25,7813.5899,781.3590
73.50,7813.5899,781.3590
73.75,7813.5899,781.3590
74.00,7813.5899,781.3590
74.25,7813.5899,781.3590
74.50,7813.5899,781.3590
74.75,7813.5899,781.3590
75.00,7813.5899,781.3590
75.25,7813.5899,781.3590
75.50,7813.5899,781.3590
75.75,7813.5899,781.3590
76.00,7813.5899,781.3590
76.25,7813.5899,781.3590
76.50,7813.5899,781.3590
76.75,7813.5899,781.3590
77.00,7813.5899,781.3590
77.25,7813.5899,781.3590
77.50,7813.5899,781.3590
77.75,7813.5899,781.3590
78.00,7813.5899,781.3590
78.25,7813.5899,781.3590
78.50,7813.5899,781.3590
78.75,7813.5899,781.3590
79.00,7813.5899,781.3590
79.25,7813.5899,781.3590
79.50,7813.5899,781.3590
79.75,7813.5899,781.3590
80.00,7813.5899,781.3590
80.25,7813.5899,781.3590
80.50,7813.5899,781.3590
80.75,7813.5899,781.3590
81.00,7813.5899,781.3590
81.25,7813.5899,781.3590
81.50,7813.5899,781.3590
81.75,7813.5899,781.3590
82.00,7813.5899,781.3590
82.25,7813.5899,781.3590
82.50,7813.5899,781.3590
82.75,7813.5899,781.3590
83.00,7813.5899,781.3590
83.25,7813.5899,781.3590
83.50,7813.5899,781.3590
83.75,7813.5899,781.3590
84.00,7813.5899,781.3590
84.25,7813.5899,781.3590
84.50,7813.5899,781.3590
84.75,7813.5899,781.3590
85.00,7813.5899,781.3590
85.25,7813.5899,781.3590
85.50,7813.5899,781.3590
85.75,7813.5899,781.3590
86.00,7813.5899,781.3590
86.25,7813.5899,781.3590
86.50,7813.5899,781.3590
86.75,7813.5899,781.3590
87.00,7813.5899,781.3590
87.25,7813.5899,781.3590
87.50,7813.5899,781.3590
87.75,7813.5899,781.3590
88.00,7813.5899,781.3590
88.25,7813.5899,781.3590
88.50,7813.5899,781.3590
88.75,7813.5899,781.3590
89.00,7813.5899,781.3590
89.25,7813.5899,781.3590
89.50,7813.5899,781.3590
89.75,7813.5899,781.3590
90.00,7813.5899,781.3590
90.25,7813.5899,781.3590
90.50,7813.5899,781.3590
90.75,7813.5899,781.3590
91.00,7813.5899,781.3590
91.25,7813.5899,781.3590
91.50,7813.5899,781.3590
91.75,7813.5899,781.3590
92.00,7813.5899,781.3590
92.25,7813.5899,781.3590
92.50,7813.5899,781.3590
92.75,7813.5899,781.3590
93.00,7813.5899,781.3590
93.25,7813.5899,781.3590
93.50,7813.5899,781.3590
93.75,7813.5899,781.3590
94.00,7813.5899,781.3590
94.25,7813.5899,781.3590
94.50,7813.5899,781.3590
94.75,7813.5899,781.3590
95.00,7813.5899,781.3590
95.25,7813.5899,781.3590
95.50,7813.5899,781.3590
95.75,7813.5899,781.3590
96.00,7813.5899,781.3590
96.25,7813.5899,781.3590
